CAFD,8Point3 Energy Partners,Solar Energy,MLP,TRUE,
AB,Alliance Bernstein,Financial Services,MLP,,
AHGP,Alliance Holdings GP LP,Coal,MLP,,
ARLP,Alliance Resource Partners,Coal,MLP,,
ALDW,Alon Partners USA,Refiner,MLP,,
AMID,American Midstream Partners,Natural Gas Midstream,MLP,,
ATAX,American First Multifamily Investors L.P.,Apartment Mortgages,MLP,,
APU,Amerigas Partners,Propane Marketing,MLP,,
AM,Antero Midstream Partners,Natural Gas Midstream,MLP,TRUE,
APO,Apollo Global Management,Asset Management,MLP,,
ARCX,Arc Logistic Partners,Crude/Refined Storage,MLP,,
APLP,Archrock Partners (Exterran Partners),Contract Services Gas,MLP,,
ARES,Ares Management LP,Investment,MLP,,
ATLS,Atlas Energy Group LLC,Pipelines and Production,MLP,,
BSM,Black Stone Minerals,Oil and Gas Properties,MLP,,
BX,Blackstone Group,Financial Services,MLP,,
BKEP,Blueknight Energy Partners,Oil and Gas Services,MLP,TRUE,
BWP,Boardwalk Pipeline Partners,Natural Gas Midstream,MLP,,
BIP,Brookfield Infrastructure Partners,Utility/Energy/Timber,MLP,,
BEP,Brookfield Renewable Energy Partners,Renewable Energy,MLP,,
BPL,Buckeye Partners,Refined Product Pipeline,MLP,,
CLMT,Calumet Specialty Products LP,Specialty Oil Products,MLP,,
CPLP,Capital Products Partners,Tanker Shipping,MLP,,
CG,Carlyle Group LP,Diversified,MLP,,
FUN,Cedar Fair Partners,Amusement Parks,MLP,,
CQP,Cheniere Partners,Natural Gas Midstream,MLP,,
CQH,Cheniere Energy Partners Holdings,Natural Gas Midstream,MLP,,
CINR,Ciner Resources (was OCI Resources),Mining,MLP,,
CNXC,CNX Coal Resources LP,Coal,MLP,,
CNNX,CONE Midstream Partners,Midstream Oil and Gas,MLP,TRUE,
CEQP,Crestwood Equity Partners,Natural Gas Midstream,MLP,,
CAPL,CrossAmerica Partners,Motor Fuel Distribution,MLP,,
CCLP,CSI Compressco,Oil and Gas Services,MLP,,
UAN,CVR Partners LP,Nitrogen Fertilizer,MLP,,
CVRR,CVR Refining LP,Refiner,MLP,,
DCP,DCP Midstream Partners,Natural Gas Midstream,MLP,TRUE,
DKL,Delek Logistics Partners,Oil Gathering/Pipeline,MLP,,
DM,Dominion Midstream Partners,LNG Import/Export Pipel,MLP,TRUE,
DMLP,Dorchester Minerals,Oil and Gas Production,MLP,,
DLNG,Dynagas LNG Partners LP,Liquid Natural Gas Ship,MLP,,
ENBL,Enable Midtream Partners LP,Midstream Gas and Oil,MLP,,
EEP,Enbridge Energy Partners,Oil/Gas Pipelines,MLP,,
ETE,Energy Transfer Equity Partners,Natural Gas Midstream,MLP,,
ETP,Energy Transfer Partners,Natural Gas Midstream,MLP,,
ENLC,Enlink Midstream LLC (General Par),Natural Gas Midstream,MLP,,
ENLK,Enlink Midstream LP,Natural Gas Midstream,MLP,,
EPD,Enterprise Products Partners,Natural Gas Midstream,MLP,,
EVA,Enviva Partners,Biomass Energy,MLP,TRUE,
EQM,EQT Midstream LP,Natural Gas Midstream,MLP,TRUE,
EQGP,EQT GP Holdings LP,Natural Gas Midstream,MLP,TRUE,
EVEP,EV Energy Partners LP,Oil and Gas Production,MLP,,
FGP,Ferrellgas Partners,Propane Marketing,MLP,,
FELP,Foresight Energy LP,Coal Production,MLP,,
FIG,Fortress Investment LLC,Investment Management,MLP,,
GLOP,GasLog Partners,LNG Shipping,MLP,,
GEL,Genesis Energy Partners,Oil/Gas Pipelines,MLP,,
GLP,Global Partners,Oil & Gas Marketing,MLP,,
GMLP,Golar LNG Partners,LNG Shipping,MLP,,
GPP,Green Plains Partners,Ethanol Distribution,MLP,,
HMLP,Hoegh LNG Partners,LNG Services,MLP,TRUE,
HEP,Holly Energy Partners,Crude & Refined Pipel,MLP,TRUE,
IEP,Icahn Enterprises LP,Diversified,MLP,,
KKR,KKR and Co.,Financial,MLP,,
KNOP,KNOT Offshore,Shuttle Tankers,MLP,,
LMRK,Landmark Infrastructure Partners,Cell Tower Real Estate,MLP,,
MMP,Magellan Midstream Partners,Crude & Refined Pipel,MLP,,
MMLP,Martin Midstream Partners,Natural Gas Midstream,MLP,,
MEP,Midcoast Energy Partners,Natural Gas Midstream,MLP,,
MPLX,MPLX LP,Crude Oil Midstream,MLP,TRUE,
NRP,Natural Resource Partners,Coal,MLP,,
NAP,Navios Maritime Midstream Partners,Tanker Shipping,MLP,,
